Order No,Order Date,Order Priority,Product Container,Ship Mode,Ship Date,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Id_customer,Id_delivery,Id_product
4293-1,02-09-2014,Critical,Small Box,Regular Air,04-09-2014,300.97,144.47,23.0,6922.31,2.0,138.45,6783.860000000001,7.18,6791.040000000001,1,1,1
5001-1,24-10-2015,Medium,Small Pack,Regular Air,26-10-2015,1.26,1.02,8.0,10.08,3.0,0.3,9.78,0.7,10.479999999999999,2,2,2
5004-1,13-03-2014,Not Specified,Small Box,Regular Air,13-03-2014,80.98,38.87,45.0,3644.1000000000004,4.0,145.76,3498.34,7.18,3505.52,3,3,3
5009-1,18-02-2013,Critical,Wrap Bag,Regular Air,20-02-2013,8.6,3.27,16.0,137.6,1.0,1.38,136.22,6.19,142.41,4,1,4
5010-1,13-09-2014,Not Specified,Wrap Bag,Express Air,17-09-2014,2.78,1.25,49.0,136.22,7.0,9.54,126.68,1.34,128.02,5,3,5
5011-1,24-11-2013,Not Specified,Wrap Bag,Regular Air,26-11-2013,7.28,2.69,45.0,327.6,8.0,26.21,301.39000000000004,11.15,312.54,6,1,6
5012-1,07-09-2014,Not Specified,Small Box,Regular Air,07-09-2014,2.62,1.02,45.0,117.9,4.0,4.72,113.18,0.8,113.98,7,2,7
5012-1,28-01-2015,Medium,Small Box,Regular Air,29-01-2015,2.62,1.02,34.0,89.08,2.0,1.78,87.3,0.8,88.1,8,4,8
5014-1,08-06-2014,Not Specified,Wrap Bag,Regular Air,10-06-2014,6.23,2.24,25.0,155.75,10.0,15.58,140.17,6.97,147.14,9,1,9
5015-1,02-10-2014,Critical,Small Box,Regular Air,04-10-2014,300.97,144.47,42.0,12640.740000000002,4.0,505.63,12135.110000000002,7.18,12142.290000000003,10,4,1
5015-1,01-04-2014,Medium,Wrap Bag,Express Air,02-04-2014,300.97,144.47,3.0,902.9100000000001,10.0,90.29,812.6200000000001,7.18,819.8000000000001,11,3,1
5016-1,11-02-2013,Low,Wrap Bag,Regular Air,12-02-2013,4.26,1.87,18.0,76.67999999999999,6.0,4.6,72.08,1.2,73.28,12,2,10
5018-1,29-12-2013,Low,Wrap Bag,Express Air,22-12-2013,90.48,36.19,1.0,90.48,2.0,1.81,88.67,19.99,108.66,13,3,11
5019-1,18-11-2013,Not Specified,Wrap Bag,Regular Air,20-11-2013,3.69,1.4,34.0,125.46,2.0,2.51,122.94999999999999,0.5,123.44999999999999,14,2,12
5019-1,13-02-2013,Not Specified,Small Box,Regular Air,15-02-2013,7.08,3.33,33.0,233.64000000000001,8.0,18.69,214.95000000000002,2.35,217.3,15,2,13
5019-1,13-02-2013,Not Specified,Wrap Bag,Regular Air,15-02-2013,120.97,45.97,27.0,3266.19,8.0,261.3,3004.89,26.3,3031.19,16,2,14
5020-1,11-05-2015,Low,Small Box,Express Air,13-05-2015,2.1,1.2,49.0,102.9,5.0,5.14,97.76,0.7,98.46000000000001,17,4,15
5021-1,18-05-2015,High,Medium Box,Regular Air,25-05-2015,15.98,5.91,24.0,383.52,1.0,3.84,379.68,4.0,383.68,18,4,16
5021-1,23-06-2014,Medium,Wrap Bag,Express Air,23-06-2014,2.61,1.02,22.0,57.419999999999995,7.0,4.02,53.39999999999999,0.5,53.89999999999999,19,4,17
5021-1,20-10-2013,Critical,Small Pack,Regular Air,20-10-2013,1.88,0.94,24.0,45.12,6.0,2.71,42.41,0.79,43.199999999999996,20,3,18
5022-1,22-02-2013,Not Specified,Wrap Bag,Regular Air,23-02-2013,300.97,144.47,49.0,14747.53,7.0,1032.33,13715.2,7.18,13722.380000000001,21,2,1
5023-1,17-02-2013,Low,Small Pack,Regular Air,22-02-2013,2.6,1.51,8.0,20.8,0.0,0.0,20.8,2.4,23.2,22,1,19
5023-1,17-02-2013,Medium,Large Box,Regular Air,22-02-2013,2.6,1.51,21.0,54.6,5.0,2.73,51.870000000000005,2.4,54.27,23,2,19
5023-1,17-02-2013,High,Small Box,Regular Air,22-02-2013,2.6,1.51,37.0,96.2,10.0,9.62,86.58,2.4,88.98,23,1,20
5023-1,17-02-2013,High,Small Box,Express Air,22-02-2013,20.99,12.17,24.0,503.76,7.0,35.26,468.5,4.81,473.31,24,1,21
5023-1,04-06-2014,Critical,Wrap Bag,Regular Air,05-06-2014,20.99,12.17,29.0,608.7099999999999,7.0,42.61,566.0999999999999,4.81,570.9099999999999,25,2,21
5024-1,22-05-2015,Medium,Small Box,Express Air,24-05-2015,7.3,2.77,14.0,102.2,2.0,2.04,100.16,7.72,107.88,26,3,22
5024-1,13-10-2014,Low,Small Box,Regular Air,15-10-2014,5.4,2.0,42.0,226.8,1.0,2.27,224.53,7.78,232.31,27,2,23
5024-1,18-02-2013,Medium,Small Box,Regular Air,20-02-2013,162.93,63.54,48.0,7820.64,2.0,156.41,7664.2300000000005,19.99,7684.22,28,2,24
5024-1,09-12-2013,High,Small Box,Express Air,09-12-2013,162.93,63.54,40.0,6517.200000000001,3.0,195.52,6321.68,19.99,6341.67,29,1,25
5024-1,02-09-2014,Low,Wrap Bag,Express Air,04-09-2014,11.97,7.18,41.0,490.77000000000004,5.0,24.54,466.23,5.81,472.04,30,1,26
5024-1,25-02-2014,High,Small Box,Regular Air,26-02-2014,36.55,14.99,22.0,804.0999999999999,10.0,80.41,723.6899999999999,13.89,737.5799999999999,31,1,27
5024-1,18-02-2013,Critical,Small Box,Express Air,20-02-2013,162.93,63.54,47.0,7657.71,9.0,689.19,6968.52,19.99,6988.51,32,3,24
5024-1,18-02-2013,High,Small Box,Express Air,20-02-2013,162.93,63.54,50.0,8146.5,7.0,570.26,7576.24,19.99,7596.23,33,4,24
5024-1,18-02-2015,Critical,Medium Box,Regular Air,21-02-2015,3.89,1.44,8.0,31.12,9.0,2.8,28.32,7.01,35.33,34,1,28
5025-1,08-06-2015,Not Specified,Small Box,Regular Air,09-06-2015,1.68,0.59,1.0,1.68,0.0,0.0,1.68,1.0,2.6799999999999997,35,1,29
5025-1,20-02-2013,Not Specified,Small Box,Regular Air,22-02-2013,1.68,0.59,34.0,57.12,10.0,5.71,51.41,1.0,52.41,36,2,29
5025-1,20-02-2013,Not Specified,Small Box,Regular Air,22-02-2013,1.68,0.59,18.0,30.24,8.0,2.42,27.82,1.0,28.82,37,3,29
5025-1,23-07-2015,Not Specified,Small Box,Regular Air,30-07-2015,100.98,40.39,14.0,1413.72,10.0,141.37,1272.35,7.18,1279.53,38,1,30
5025-1,20-02-2013,High,Wrap Bag,Regular Air,22-02-2013,1.68,0.59,29.0,48.72,3.0,1.46,47.26,1.0,48.26,39,3,29
5025-1,20-02-2013,Critical,Small Box,Express Air,22-02-2013,1.68,0.59,39.0,65.52,7.0,4.59,60.92999999999999,1.0,61.92999999999999,40,4,29
5025-1,17-08-2013,High,Wrap Bag,Regular Air,17-08-2013,20.99,12.17,16.0,335.84,2.0,6.72,329.11999999999995,4.81,333.92999999999995,41,2,21
5025-1,03-10-2013,Critical,Small Box,Regular Air,04-10-2013,7.28,2.69,19.0,138.32,4.0,5.53,132.79,11.15,143.94,42,3,6
5025-1,12-09-2014,Low,Jumbo Drum,Delivery Truck,19-09-2014,300.97,144.47,4.0,1203.88,6.0,72.23,1131.65,7.18,1138.8300000000002,43,1,31
5025-1,30-07-2014,Not Specified,Small Box,Regular Air,01-08-2014,1.88,0.7,39.0,73.32,9.0,6.6,66.72,1.49,68.21,44,4,32
5026-1,21-05-2013,Medium,Small Pack,Regular Air,23-05-2013,1.48,0.55,16.0,23.68,0.0,0.0,23.68,0.7,24.38,45,3,33
5026-1,31-05-2013,High,Wrap Bag,Express Air,02-06-2013,2.61,1.02,41.0,107.00999999999999,5.0,5.35,101.66,0.5,102.16,46,3,17
5027-1,29-07-2013,Low,Small Box,Regular Air,30-07-2013,3.89,1.44,29.0,112.81,4.0,4.51,108.3,7.01,115.31,47,4,28
5027-1,13-01-2014,High,Small Box,Regular Air,18-01-2014,2.61,1.02,45.0,117.44999999999999,6.0,7.05,110.39999999999999,0.5,110.89999999999999,48,4,17
5027-1,25-10-2013,Medium,Large Box,Regular Air,27-10-2013,12.98,7.79,10.0,129.8,1.0,1.3,128.5,3.14,131.64,29,1,34
5027-1,13-10-2013,High,Wrap Bag,Regular Air,13-10-2013,120.97,45.97,31.0,3750.07,6.0,225.0,3525.07,26.3,3551.3700000000003,49,4,35
5027-1,19-01-2016,Not Specified,Small Pack,Regular Air,19-01-2016,15.98,5.91,4.0,63.92,2.0,1.28,62.64,4.0,66.64,50,1,36
5027-1,22-07-2013,Critical,Small Pack,Regular Air,26-07-2013,300.97,144.47,9.0,2708.7300000000005,7.0,189.61,2519.1200000000003,7.18,2526.3,51,4,1
5027-1,22-02-2013,Low,Small Box,Regular Air,28-02-2013,35.94,14.38,11.0,395.34,1.0,3.95,391.39,6.66,398.05,52,4,37
5028-1,19-06-2015,Medium,Small Box,Regular Air,21-06-2015,5.84,2.86,7.0,40.879999999999995,1.0,0.41,40.47,0.83,41.3,53,2,38
5028-1,09-10-2013,Not Specified,Large Box,Regular Air,11-10-2013,2.88,1.04,17.0,48.96,0.0,0.0,48.96,0.99,49.95,54,4,39
5029-1,23-02-2013,Medium,Small Pack,Regular Air,23-02-2013,8.6,3.27,22.0,189.2,7.0,13.24,175.95999999999998,6.19,182.14999999999998,55,4,4
5029-1,02-06-2014,High,Medium Box,Regular Air,04-06-2014,2.61,1.02,7.0,18.27,3.0,0.55,17.72,0.5,18.22,56,3,40
5029-1,23-02-2013,High,Jumbo Drum,Delivery Truck,23-02-2013,8.6,3.27,13.0,111.8,4.0,4.47,107.33,6.19,113.52,57,3,41
5029-1,12-11-2015,Not Specified,Wrap Bag,Regular Air,14-11-2015,90.48,36.19,40.0,3619.2000000000003,10.0,361.92,3257.28,19.99,3277.27,58,4,11
5029-1,20-05-2013,Low,Small Box,Regular Air,22-05-2013,8.6,3.27,19.0,163.4,10.0,16.34,147.06,6.19,153.25,59,1,4
5032-1,18-11-2013,Critical,Small Box,Regular Air,20-11-2013,27.18,10.33,32.0,869.76,6.0,52.19,817.5699999999999,8.23,825.8,8,3,42
5032-1,16-12-2013,Medium,Small Box,Regular Air,19-12-2013,2.88,1.04,22.0,63.36,1.0,0.63,62.73,0.99,63.72,60,1,43
5033-1,25-02-2013,High,Small Box,Regular Air,27-02-2013,90.48,36.19,42.0,3800.1600000000003,5.0,190.01,3610.1500000000005,19.99,3630.1400000000003,61,1,11
5034-1,05-06-2013,Medium,Small Box,Regular Air,05-06-2013,2.88,1.04,32.0,92.16,5.0,4.61,87.55,0.99,88.53999999999999,62,4,43
5034-1,10-08-2015,Medium,Small Box,Express Air,13-08-2015,83.98,31.91,22.0,1847.5600000000002,7.0,129.33,1718.2300000000002,5.01,1723.2400000000002,63,1,44
5034-1,23-09-2014,Critical,Small Box,Regular Air,25-09-2014,2.88,1.04,45.0,129.6,8.0,10.37,119.22999999999999,0.99,120.21999999999998,64,2,45
5034-1,09-05-2013,Medium,Small Box,Regular Air,11-05-2013,5.18,1.86,37.0,191.66,1.0,1.92,189.74,2.04,191.78,65,4,46
5034-1,13-05-2013,High,Small Box,Regular Air,15-05-2013,5.18,1.86,35.0,181.29999999999998,3.0,5.44,175.85999999999999,2.04,177.89999999999998,66,2,46
5034-1,20-02-2013,High,Wrap Bag,Regular Air,22-02-2013,12.98,7.79,16.0,207.68,10.0,20.77,186.91,3.14,190.04999999999998,39,2,47
5035-1,30-04-2013,Low,Small Box,Regular Air,02-05-2013,599.99,222.0,35.0,20999.65,5.0,1049.98,19949.670000000002,24.49,19974.160000000003,67,2,48
5036-1,07-03-2013,Medium,Small Box,Express Air,10-03-2013,1.14,0.43,14.0,15.959999999999999,2.0,0.32,15.639999999999999,0.7,16.34,68,1,49
5036-1,07-03-2013,Medium,Large Box,Express Air,10-03-2013,1.14,0.43,14.0,15.959999999999999,0.0,0.0,15.959999999999999,0.7,16.66,68,1,50
